Unnamed: 0,CustomerID,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
3290,203290,36.0,1,1,9.0,2,2,3,5.0,3,4.0,1,4.0,0,4,1,1.0,3,28952.0
1713,201713,40.0,1,1,30.0,1,2,3,3.0,1,3.0,1,2.0,0,3,1,1.0,2,18319.0
2908,202908,38.0,1,1,7.0,1,0,3,4.0,3,3.0,3,6.0,0,5,1,2.0,3,26169.0
3770,203770,33.0,1,3,9.0,3,2,3,5.0,1,4.0,2,2.0,1,1,1,1.0,2,28585.0
4251,204251,30.0,1,1,16.0,2,2,2,5.0,0,3.0,3,2.0,0,1,1,1.0,1,22661.0
2169,202169,52.0,1,1,6.0,2,2,3,3.0,4,3.0,1,3.0,0,1,1,2.0,0,32099.0
3681,203681,33.0,1,3,7.0,2,2,3,6.0,1,4.0,3,8.0,0,3,0,2.0,2,25413.0
4806,204806,20.0,0,1,17.0,3,1,4,5.0,0,4.0,2,3.0,1,5,0,3.0,1,20537.0
8,200008,38.0,0,1,29.0,2,2,2,4.0,3,3.0,3,1.0,0,3,0,0.0,3,24526.0
2114,202114,31.0,1,1,17.0,2,2,2,3.0,0,3.0,1,4.0,1,3,0,0.0,1,17356.0
3223,203223,52.0,1,1,11.0,2,2,3,4.0,0,3.0,0,2.0,1,2,1,2.0,1,21139.0
4056,204056,39.0,1,1,10.0,1,1,3,4.0,1,3.0,3,5.0,1,5,1,1.0,2,22995.0
4051,204051,40.0,1,3,11.0,2,1,3,5.0,1,3.0,1,6.0,0,5,1,2.0,2,24580.0
3409,203409,26.0,1,1,26.0,3,2,4,4.0,0,3.0,0,5.0,0,5,1,3.0,1,22347.0
1223,201223,47.0,0,3,15.0,2,2,2,5.0,4,3.0,1,1.0,0,5,1,1.0,0,27936.0
2234,202234,28.0,1,3,16.0,3,2,3,3.0,0,4.0,1,2.0,0,5,0,2.0,1,16052.0
3272,203272,19.0,0,1,15.0,3,2,4,4.0,0,3.0,2,3.0,0,5,0,1.0,1,20582.0
2031,202031,52.0,1,3,9.0,3,2,2,4.0,4,5.0,1,2.0,0,5,1,0.0,0,31856.0
2615,202615,20.0,0,3,7.0,1,1,4,6.0,0,5.0,2,2.0,0,3,1,2.0,1,21003.0
2471,202471,43.0,1,3,15.0,3,2,3,4.0,1,4.0,0,2.0,0,3,0,2.0,2,25503.0
4807,204807,30.0,1,1,8.0,2,1,4,4.0,0,3.0,1,3.0,0,1,1,3.0,1,22438.0
3896,203896,51.0,0,3,7.0,2,2,4,4.0,1,3.0,1,2.0,0,3,1,2.0,2,25406.0
4122,204122,41.0,0,1,16.0,2,2,4,5.0,1,3.0,1,2.0,0,5,0,2.0,2,23554.0
2598,202598,33.0,0,3,15.0,3,0,3,4.0,3,3.0,3,3.0,0,4,1,2.0,3,27676.0
2806,202806,22.0,0,3,16.0,3,2,3,4.0,0,3.0,3,3.0,0,4,0,1.0,1,21288.0
1831,201831,40.0,1,1,16.0,2,1,2,1.0,0,3.0,1,4.0,1,3,0,1.0,1,17213.0
1972,201972,53.0,1,3,6.0,3,1,2,3.0,1,5.0,3,1.0,0,1,1,1.0,2,23381.0
3512,203512,29.0,0,1,9.0,3,2,3,5.0,0,5.0,2,2.0,0,4,0,1.0,1,21239.0
4405,204405,44.0,0,1,16.0,3,2,4,4.0,1,3.0,1,5.0,1,3,1,3.0,2,24357.0
2942,202942,23.0,1,1,13.0,3,2,4,4.0,0,3.0,0,2.0,0,2,1,1.0,1,21451.0
3268,203268,43.0,1,1,36.0,3,2,3,6.0,1,3.0,3,6.0,0,3,1,1.0,2,22950.0
2180,202180,33.0,0,3,23.0,2,2,2,3.0,4,3.0,2,2.0,0,3,1,0.0,0,32444.0
4272,204272,37.0,0,3,7.0,3,0,3,4.0,1,3.0,3,6.0,0,1,1,2.0,2,25331.0
1432,201432,37.0,1,1,16.0,2,1,2,1.0,3,3.0,1,2.0,1,1,0,1.0,3,28744.0
4241,204241,40.0,1,3,10.0,3,1,3,4.0,1,3.0,1,6.0,1,4,1,2.0,2,23916.0
4510,204510,36.0,1,1,7.0,2,1,3,2.0,0,3.0,2,5.0,0,3,1,2.0,1,21184.0
3636,203636,50.0,1,1,23.0,3,1,4,4.0,0,5.0,1,6.0,1,1,1,2.0,1,21265.0
1827,201827,21.0,0,3,6.0,1,1,3,4.0,0,4.0,2,2.0,1,5,1,2.0,1,17174.0
4816,204816,28.0,1,3,9.0,3,1,4,6.0,2,4.0,2,4.0,1,5,1,2.0,4,21195.0
2657,202657,52.0,1,1,15.0,2,2,3,5.0,3,4.0,0,7.0,0,3,1,2.0,3,31168.0
2416,202416,40.0,1,1,14.0,3,2,3,4.0,0,3.0,3,2.0,1,4,1,2.0,1,24094.0
2322,202322,29.0,1,1,12.0,3,1,2,3.0,0,3.0,1,2.0,0,3,0,1.0,1,18131.0
53,200053,35.0,0,1,17.0,3,2,3,4.0,3,5.0,0,3.0,1,5,1,1.0,3,24884.0
4187,204187,38.0,1,3,13.0,3,2,4,4.0,1,3.0,1,6.0,0,3,1,1.0,2,25180.0
110,200110,51.0,0,1,6.0,3,1,1,4.0,3,5.0,3,4.0,0,2,1,0.0,3,22484.0
4276,204276,22.0,0,3,16.0,3,2,3,4.0,0,3.0,3,3.0,0,4,1,1.0,1,21288.0
2069,202069,36.0,1,2,19.0,2,2,2,3.0,0,4.0,1,5.0,0,3,1,1.0,1,17143.0
2365,202365,31.0,1,1,17.0,3,2,3,3.0,1,5.0,1,2.0,1,1,1,1.0,2,21833.0
3837,203837,28.0,1,3,16.0,3,2,3,4.0,1,3.0,3,3.0,0,1,0,2.0,2,22783.0
4230,204230,50.0,1,1,7.0,1,1,3,5.0,4,3.0,2,2.0,1,3,0,1.0,0,32642.0
4747,204747,28.0,1,1,13.0,2,2,3,5.0,0,3.0,1,3.0,0,1,1,2.0,1,21217.0
1229,201229,40.0,1,1,14.0,2,1,3,3.0,1,5.0,1,3.0,1,1,0,0.0,2,21516.0
252,200252,29.0,1,1,21.0,2,2,2,3.0,0,3.0,2,2.0,0,3,0,0.0,1,17340.0
3728,203728,40.0,1,1,17.0,3,2,4,4.0,3,3.0,2,2.0,0,3,1,1.0,3,32142.0
3365,203365,29.0,0,1,7.0,3,2,3,4.0,0,3.0,2,2.0,1,4,0,1.0,1,20832.0
4800,204800,31.0,1,1,8.0,3,2,4,4.0,0,4.0,1,2.0,1,4,1,3.0,1,22257.0
148,200148,41.0,1,1,15.0,2,2,3,3.0,0,5.0,0,3.0,0,2,0,2.0,1,17238.0
980,200980,31.0,0,3,8.0,2,1,2,4.0,0,3.0,2,1.0,0,5,0,1.0,1,17785.0
2931,202931,21.0,1,1,7.0,2,1,3,5.0,0,4.0,3,3.0,0,4,1,1.0,1,21514.0
3800,203800,42.0,1,3,15.0,3,1,3,4.0,1,4.0,1,7.0,0,3,1,2.0,2,23071.0
4573,204573,29.0,1,3,12.0,3,2,4,4.0,1,3.0,3,3.0,0,3,0,2.0,2,23586.0
3712,203712,54.0,0,1,7.0,3,1,3,5.0,4,3.0,1,6.0,1,1,0,1.0,0,31643.0
105,200105,59.0,0,2,8.0,2,1,2,4.0,2,3.0,0,1.0,0,2,1,1.0,4,33844.0
258,200258,51.0,1,1,6.0,2,2,3,3.0,0,3.0,0,2.0,0,4,1,0.0,1,17723.0
2883,202883,32.0,0,1,27.0,2,2,4,4.0,3,3.0,0,5.0,0,3,1,1.0,3,28502.0
4622,204622,37.0,0,3,15.0,1,2,3,4.0,1,3.0,1,6.0,0,3,1,2.0,2,23757.0
401,200401,56.0,0,3,12.0,2,1,2,2.0,4,5.0,0,1.0,0,3,1,0.0,0,28212.0
1881,201881,60.0,1,1,13.0,2,1,2,3.0,2,5.0,1,6.0,0,5,1,0.0,4,34566.0
2673,202673,30.0,1,1,25.0,3,2,3,5.0,0,3.0,2,3.0,1,3,0,2.0,1,21067.0
3904,203904,30.0,1,1,35.0,3,1,4,5.0,0,5.0,3,3.0,0,1,0,2.0,1,22463.0
3993,203993,47.0,1,2,12.0,3,2,4,4.0,1,4.0,1,2.0,1,5,1,3.0,2,23699.0
4356,204356,37.0,0,3,17.0,3,2,3,4.0,3,3.0,2,3.0,0,1,1,2.0,3,28658.0
4076,204076,29.0,1,1,28.0,3,2,3,4.0,0,3.0,1,3.0,0,1,0,1.0,1,21391.0
3995,203995,36.0,1,1,7.0,3,2,2,5.0,0,3.0,3,3.0,0,4,1,1.0,1,21537.0
1127,201127,23.0,1,1,16.0,1,2,2,1.0,0,3.0,1,3.0,0,1,1,0.0,1,17073.0
2519,202519,32.0,1,1,15.0,2,1,4,4.0,1,3.0,3,3.0,0,5,0,2.0,2,23102.0
4496,204496,41.0,0,1,9.0,3,1,3,2.0,1,4.0,1,3.0,0,3,0,1.0,2,22922.0
3117,203117,34.0,1,1,7.0,2,2,4,5.0,0,5.0,3,5.0,1,4,0,1.0,1,21477.0
4507,204507,37.0,1,1,7.0,2,1,3,4.0,1,4.0,1,2.0,0,5,1,2.0,2,23906.0
64,200064,36.0,1,1,14.0,1,1,2,3.0,3,3.0,1,2.0,0,4,1,1.0,3,25096.0
990,200990,33.0,0,3,11.0,2,2,3,3.0,1,3.0,0,7.0,0,1,1,2.0,2,24998.0
4212,204212,37.0,0,1,25.0,2,2,3,2.0,0,3.0,1,6.0,0,5,1,2.0,1,22366.0
3172,203172,55.0,1,1,24.0,1,1,3,4.0,3,3.0,0,2.0,0,5,1,1.0,3,29417.0
3926,203926,32.0,1,1,33.0,2,2,3,4.0,0,3.0,1,3.0,0,3,1,2.0,1,21589.0
67,200067,45.0,1,1,13.0,2,2,2,3.0,3,5.0,1,3.0,0,3,1,1.0,3,24724.0
3591,203591,50.0,1,1,32.0,2,1,3,4.0,0,5.0,1,3.0,0,3,0,1.0,1,21889.0
3132,203132,20.0,1,3,28.0,2,2,3,5.0,0,4.0,2,3.0,1,2,0,2.0,1,20799.0
1519,201519,35.0,1,1,14.0,2,2,2,1.0,0,3.0,1,2.0,0,5,1,1.0,1,17269.0
1621,201621,35.0,1,3,6.0,3,2,3,3.0,3,4.0,1,2.0,0,4,0,0.0,3,22295.0
2045,202045,54.0,1,1,25.0,3,1,3,3.0,1,5.0,1,1.0,1,3,0,2.0,2,20485.0
1210,201210,33.0,1,1,27.0,3,2,3,1.0,0,4.0,1,2.0,0,1,1,1.0,1,17028.0
3982,203982,36.0,0,1,7.0,3,2,4,4.0,0,5.0,1,6.0,0,1,0,2.0,1,20872.0
2562,202562,37.0,1,1,10.0,2,1,3,4.0,0,3.0,1,7.0,0,2,1,1.0,1,21513.0
3882,203882,24.0,0,3,16.0,3,2,3,4.0,0,5.0,1,3.0,0,5,1,1.0,1,20468.0
2154,202154,40.0,1,3,16.0,3,2,3,4.0,3,4.0,1,3.0,0,4,0,0.0,3,24705.0
1251,201251,30.0,1,3,21.0,3,2,3,4.0,3,5.0,1,3.0,0,1,0,2.0,3,22140.0
3601,203601,36.0,0,1,15.0,2,1,3,4.0,1,3.0,1,3.0,0,5,1,2.0,2,22826.0
4341,204341,61.0,0,3,35.0,3,1,4,5.0,3,5.0,1,6.0,0,1,1,1.0,3,28944.0
3780,203780,56.0,1,1,9.0,1,2,4,5.0,0,3.0,1,2.0,0,5,0,1.0,1,21340.0
4207,204207,27.0,1,3,11.0,3,2,3,5.0,1,3.0,3,3.0,1,1,1,1.0,2,24506.0
4375,204375,36.0,1,3,7.0,3,0,4,4.0,1,3.0,3,3.0,0,4,1,1.0,2,23537.0
620,200620,35.0,1,1,33.0,3,1,2,4.0,0,5.0,2,2.0,0,4,1,1.0,1,17559.0
3089,203089,30.0,1,3,7.0,3,1,3,5.0,0,3.0,1,8.0,1,2,0,2.0,1,21478.0
3885,203885,57.0,0,1,7.0,2,2,3,4.0,1,3.0,1,3.0,0,3,0,1.0,2,24984.0
4444,204444,28.0,1,1,7.0,2,1,4,4.0,3,5.0,1,3.0,0,4,0,3.0,3,26090.0
1693,201693,38.0,1,3,9.0,2,2,3,3.0,3,3.0,1,1.0,0,1,1,1.0,3,25609.0
2880,202880,34.0,1,1,17.0,3,2,3,6.0,0,3.0,1,2.0,0,5,0,1.0,1,22086.0
3920,203920,60.0,1,1,10.0,3,1,3,2.0,0,5.0,1,6.0,1,1,0,2.0,1,21348.0
2314,202314,30.0,1,3,16.0,3,2,3,4.0,1,3.0,1,2.0,0,1,0,1.0,2,21578.0
3044,203044,33.0,1,1,11.0,2,1,4,5.0,1,3.0,0,3.0,0,4,1,1.0,2,24840.0
2922,202922,26.0,1,3,20.0,3,2,3,4.0,0,3.0,0,3.0,0,3,1,1.0,1,20774.0
3607,203607,38.0,1,1,17.0,3,1,4,4.0,0,4.0,1,3.0,0,1,1,1.0,1,22614.0
2439,202439,48.0,1,3,8.0,3,2,2,4.0,1,4.0,3,1.0,1,1,1,0.0,2,22898.0
3641,203641,21.0,1,3,16.0,2,2,3,4.0,0,5.0,3,3.0,0,1,0,2.0,1,21406.0
3918,203918,28.0,1,1,9.0,3,2,3,4.0,0,4.0,1,2.0,0,5,1,2.0,1,22146.0
3517,203517,29.0,1,1,36.0,2,2,4,6.0,1,4.0,0,3.0,0,1,1,3.0,2,25227.0
4881,204881,41.0,1,2,25.0,2,2,3,2.0,0,5.0,1,2.0,0,1,1,2.0,1,21065.0
4837,204837,35.0,1,3,16.0,3,2,3,4.0,3,3.0,1,6.0,0,3,1,2.0,3,23168.0
3798,203798,57.0,1,1,31.0,2,2,4,4.0,0,3.0,2,3.0,0,3,0,1.0,1,21265.0
1134,201134,35.0,1,1,13.0,2,2,3,4.0,0,3.0,1,2.0,0,3,1,0.0,1,17690.0
214,200214,30.0,1,1,9.0,1,1,2,3.0,0,5.0,2,6.0,1,4,1,1.0,1,17657.0
3844,203844,39.0,0,2,7.0,2,2,3,4.0,0,4.0,1,2.0,1,1,1,2.0,1,21669.0
41,200041,27.0,1,1,8.0,2,1,2,3.0,0,5.0,1,2.0,0,3,0,1.0,1,17341.0
549,200549,34.0,1,1,14.0,3,1,3,3.0,1,3.0,2,4.0,0,4,1,1.0,2,21142.0
4173,204173,32.0,0,1,36.0,3,2,4,5.0,0,4.0,3,2.0,0,3,0,3.0,1,22157.0
529,200529,38.0,1,1,6.0,2,1,2,2.0,1,3.0,3,1.0,0,2,1,1.0,2,22625.0
1585,201585,37.0,1,3,9.0,2,2,2,3.0,3,3.0,3,3.0,0,3,0,1.0,3,22428.0
4791,204791,47.0,1,1,9.0,1,2,3,4.0,1,3.0,1,4.0,0,1,0,1.0,2,26057.0
126,200126,58.0,1,1,29.0,3,1,3,3.0,3,3.0,0,2.0,0,3,1,0.0,3,25312.0
193,200193,43.0,0,1,13.0,3,2,2,2.0,0,3.0,1,5.0,0,4,0,1.0,1,17089.0
3095,203095,48.0,1,3,9.0,3,1,3,4.0,1,3.0,0,2.0,1,2,1,1.0,2,23215.0
3509,203509,56.0,1,1,11.0,2,2,2,4.0,1,3.0,0,2.0,1,4,0,1.0,2,22713.0
243,200243,40.0,1,1,30.0,1,2,3,3.0,1,3.0,1,2.0,0,3,1,1.0,2,18319.0
1723,201723,42.0,1,1,23.0,2,1,2,1.0,1,5.0,3,4.0,1,1,1,1.0,2,21545.0
1094,201094,40.0,1,3,15.0,3,2,2,3.0,1,5.0,1,1.0,0,3,1,1.0,2,20473.0
4740,204740,39.0,1,2,7.0,2,2,3,2.0,0,3.0,1,3.0,0,4,1,1.0,1,21522.0
2278,202278,29.0,1,1,34.0,2,1,3,3.0,0,3.0,1,5.0,0,5,1,0.0,1,17514.0
4860,204860,41.0,1,1,15.0,3,2,4,5.0,0,3.0,3,3.0,1,4,1,3.0,1,27772.0
367,200367,50.0,1,1,16.0,1,2,3,4.0,3,3.0,3,7.0,0,5,0,2.0,3,25496.0
4052,204052,26.0,1,3,35.0,2,2,3,5.0,1,3.0,1,4.0,0,4,1,2.0,2,27317.0
1692,201692,37.0,0,1,17.0,2,2,2,3.0,3,3.0,1,2.0,1,3,1,1.0,3,27185.0
3136,203136,33.0,1,1,10.0,3,1,4,4.0,1,5.0,0,3.0,0,2,1,2.0,2,25403.0
2172,202172,30.0,1,3,14.0,2,2,3,3.0,3,3.0,1,6.0,0,3,1,0.0,3,22264.0
3593,203593,28.0,1,1,26.0,2,2,4,5.0,0,5.0,1,3.0,0,1,0,1.0,1,22744.0
2421,202421,41.0,0,3,15.0,2,2,2,5.0,4,3.0,1,1.0,0,5,1,1.0,0,21151.0
966,200966,58.0,1,1,13.0,3,1,2,4.0,3,5.0,0,1.0,1,4,1,0.0,3,25008.0
4545,204545,45.0,1,1,15.0,2,2,4,2.0,0,3.0,1,4.0,1,3,1,1.0,1,21496.0
657,200657,29.0,1,1,13.0,3,1,3,4.0,0,3.0,1,7.0,0,5,1,0.0,1,17532.0
3011,203011,35.0,1,3,9.0,2,2,3,4.0,1,3.0,3,3.0,0,5,0,1.0,2,24952.0
3168,203168,25.0,1,1,24.0,3,1,3,5.0,1,3.0,1,3.0,0,3,1,2.0,2,23055.0
4126,204126,28.0,0,3,27.0,2,1,3,4.0,1,3.0,2,3.0,0,1,1,2.0,2,28659.0
2003,202003,40.0,0,3,11.0,2,2,2,4.0,3,5.0,1,6.0,1,5,0,0.0,3,25475.0
1851,201851,30.0,1,3,8.0,1,2,3,3.0,0,4.0,1,2.0,0,3,1,0.0,1,17476.0
2173,202173,38.0,0,3,16.0,1,1,2,3.0,1,3.0,2,2.0,1,3,1,0.0,2,20666.0
4250,204250,30.0,1,1,15.0,2,2,4,6.0,0,5.0,1,3.0,1,3,0,2.0,1,20797.0
2493,202493,36.0,1,1,15.0,2,2,3,3.0,0,3.0,0,3.0,0,5,1,2.0,1,20947.0
1701,201701,42.0,1,1,10.0,1,2,2,3.0,2,3.0,1,2.0,0,1,0,0.0,4,34232.0
2502,202502,32.0,1,1,14.0,2,2,3,4.0,1,3.0,1,5.0,0,3,1,1.0,2,24593.0
1710,201710,39.0,1,1,6.0,3,1,3,3.0,0,3.0,1,1.0,0,3,1,0.0,1,17232.0
2500,202500,36.0,0,3,25.0,2,2,4,4.0,3,5.0,0,3.0,0,4,1,1.0,3,27747.0
3058,203058,27.0,0,1,12.0,3,1,3,5.0,0,3.0,0,3.0,1,2,0,2.0,1,21044.0
2358,202358,35.0,0,3,14.0,3,1,3,4.0,3,3.0,1,5.0,1,5,1,2.0,3,25377.0
3394,203394,32.0,0,3,9.0,2,1,3,4.0,3,3.0,1,3.0,1,1,1,1.0,3,28530.0
2625,202625,35.0,1,1,34.0,3,1,4,4.0,0,4.0,2,4.0,0,3,1,1.0,1,20989.0
4535,204535,37.0,1,3,7.0,2,2,3,4.0,1,3.0,1,3.0,1,3,1,2.0,2,24879.0
4140,204140,38.0,0,3,11.0,3,2,3,4.0,0,3.0,1,6.0,0,4,1,1.0,1,21471.0
2364,202364,54.0,1,1,9.0,2,2,2,3.0,4,3.0,1,4.0,0,5,0,0.0,0,32779.0
2903,202903,42.0,0,1,9.0,2,0,4,5.0,1,3.0,3,4.0,1,2,0,1.0,2,25489.0
3705,203705,39.0,1,1,25.0,3,2,3,6.0,1,3.0,1,5.0,1,5,0,2.0,2,24489.0
3827,203827,37.0,0,1,16.0,2,2,4,2.0,0,4.0,1,3.0,0,5,1,1.0,1,21488.0
933,200933,28.0,1,1,6.0,1,2,2,3.0,0,5.0,2,3.0,0,4,0,0.0,1,17080.0
414,200414,24.0,1,3,6.0,1,1,3,3.0,0,4.0,2,2.0,1,4,1,2.0,1,18202.0
1671,201671,49.0,0,1,24.0,2,2,3,3.0,1,3.0,1,2.0,1,1,0,0.0,2,21804.0
4767,204767,20.0,1,1,16.0,2,2,3,4.0,0,5.0,2,3.0,0,3,0,2.0,1,21230.0
4106,204106,36.0,1,1,30.0,2,2,3,5.0,1,3.0,1,5.0,1,4,1,1.0,2,24594.0
3886,203886,30.0,1,1,7.0,3,2,3,4.0,0,3.0,1,2.0,1,3,1,1.0,1,23465.0
3217,203217,37.0,1,1,19.0,3,0,3,5.0,3,3.0,3,2.0,0,2,1,1.0,3,27536.0
27,200027,42.0,1,3,14.0,3,2,2,3.0,1,4.0,0,1.0,0,3,0,1.0,2,21825.0
2028,202028,32.0,0,1,30.0,2,2,3,3.0,1,3.0,1,2.0,0,4,1,2.0,2,20309.0
142,200142,38.0,1,1,9.0,1,1,2,3.0,1,3.0,2,4.0,1,5,0,0.0,2,1000.0
4222,204222,59.0,0,1,7.0,2,2,3,6.0,1,3.0,1,4.0,1,1,1,2.0,2,24338.0
2565,202565,34.0,0,3,29.0,3,2,4,4.0,1,4.0,0,2.0,0,2,0,2.0,2,24824.0
1119,201119,38.0,1,3,20.0,2,2,3,3.0,1,4.0,1,1.0,0,5,1,2.0,2,24924.0
4144,204144,53.0,1,1,9.0,2,1,3,5.0,0,3.0,3,2.0,0,3,1,1.0,1,21890.0
445,200445,55.0,1,3,24.0,2,1,2,3.0,4,4.0,2,4.0,0,2,0,1.0,0,31835.0
4195,204195,43.0,1,3,7.0,2,2,2,4.0,1,3.0,1,3.0,0,3,1,1.0,2,23585.0
4438,204438,35.0,1,1,16.0,3,0,3,5.0,3,4.0,3,3.0,0,1,1,1.0,3,27299.0
2718,202718,22.0,1,1,10.0,3,2,4,5.0,0,3.0,3,3.0,0,5,1,2.0,1,21908.0
1461,201461,50.0,1,3,34.0,3,2,2,4.0,3,5.0,1,5.0,1,5,0,0.0,3,25854.0
4113,204113,39.0,1,1,36.0,1,2,3,4.0,1,3.0,1,5.0,0,1,0,1.0,2,24939.0
603,200603,45.0,1,1,8.0,2,1,3,4.0,0,3.0,2,2.0,0,3,1,1.0,1,17274.0
3692,203692,28.0,1,1,15.0,3,1,4,4.0,0,3.0,3,3.0,0,4,1,3.0,1,22123.0
4255,204255,39.0,1,1,22.0,2,2,4,5.0,3,3.0,1,2.0,1,5,1,3.0,3,30188.0
1241,201241,32.0,1,3,25.0,2,2,3,5.0,3,3.0,1,4.0,0,3,1,2.0,3,24610.0
840,200840,35.0,1,1,6.0,3,2,2,4.0,0,3.0,0,7.0,0,2,1,1.0,1,17258.0
4760,204760,36.0,1,1,9.0,2,2,3,5.0,3,4.0,1,4.0,0,4,1,1.0,3,28952.0
